id,Name,Product ID,Description,Status,cp,Decimals Supported,Default Unit,Feed notes,List Price (p/T) (Base),me,Mix Margin,Mix Margin (Base),Mix Type,ndf,Product Category,Retail Price $/t
1,Stock Pellet,1000,,1,0,2,1,,318,0,318,318,,0,1,318
2,Production Pellet,1002,,1,0,2,1,,373,0,373,373,,0,1,373
3,Performance Pellet,1003,,1,0,2,1,,388,0,388,388,,0,1,388
4,Premium Pellet,1004,,1,0,2,1,,389,0,389,389,,0,1,389
5,Premium Plus Pellet,1005,,1,0,2,1,,391,0,391,391,,0,1,391
6,Calf Starter Pellet,1006,,1,0,2,1,,451,0,451,451,,0,1,451
7,Calf Rearer Pellet,1007,,1,0,2,1,,423,0,423,423,,0,1,423
8,Lead Feed Pellet,1008,,1,0,2,1,,508.75,0,78.7,78.7,,0,2,508.75
9,Elders Pre Calve/Lamb - TSS Grain,1009,,1,0,0,1,,0,0,0,0,1,0,3,0
10,Pellet - Sheep,1010,,1,0,0,1,,368,0,368,368,,0,1,368
11,Summer Super Special,1011,,1,0,0,1,,0,0,0,0,,0,1,0
12,Non Grain Beef Pellet Ration,1012,,1,13.51,0,1,,375,8.86,105.97,105.97,2,25.74,2,375
13,Non Grain Beef Pellet,1013,,1,0,0,1,,375,0,375,375,,0,1,375
14,Eskalin 500 (50%),1023,,2,,2,1,Vet Script Required Cows must be introduced onto product in steps.,106508,,,,,,4,106508
15,Wheat,2001,,1,11,2,1,,305,13.5,,,1,12,3,305
16,Barley,2002,,1,11,2,1,,285,12.8,,,1,12,3,285
17,Triticale,2003,,1,3.3,2,1,,300,3.9,,,1,4.5,3,300
18,Sorghum,2004,,1,10,2,1,,250,12,,,1,10,3,250
19,Maize,2005,,1,8,2,1,,310,14,,,1,9,3,310
20,Lupins,2006,,1,31,2,1,,460,13,,,1,24,3,460
21,Faba Beans,2007,,1,30,2,1,,500,12,,,1,25,3,500
22,Peas,2008,,1,26,2,1,,360,12,,,,26,3,360
23,Canola Meal,2009,,1,38,2,1,,460,12,,,2,26,3,460
24,Cottonseed Meal,2010,,1,44,2,1,,325,11.5,,,2,26,3,325
25,Copra Meal,2011,,1,22,2,1,,237,12.5,,,2,50,3,237
26,Oat Bran,2012,,1,6,2,1,,50,8,,,,59,3,50
27,Palm Kernal,2013,,1,16,2,1,,300,11,,,,56,3,300
