Account Number,Owner,New Owner,,,,,,,,,,,,,
A10498,9,11,,,,,,,,,,,,,
A10499,9,11,,,,,,,,,,,,,
A10793,25,26,,,,,,,,,,,,,
A10554,9,11,,,,,,,,,,,,,
A10050,23,24,,,,,,,,,,,,,
A10405,23,24,,,,,,,,,,,,,
A10494,25,26,,,,,,,,,,,,,
A10487,23,24,,,,,,,,,,,,,
A10486,9,11,,,,,,,,,,,,,
A10487,9,11,,,,,,,,,,,,,
A10053,9,11,,,,,,,,,,,,,
A10325,9,11,,,,,,,,,,,,,
A10365,23,24,,,,,,,,,,,,,
A10092,9,11,,,,,,,,,,,,,
A10504,29,29,,,,,,,,,,,,,
A10791,25,26,,,,,,,,,,,,,
A10446,25,26,,,,,,,,,,,,,
A10004,9,11,,,,,,,,,,,,,
A10006,9,11,,,,,,,,,,,,,
A10465,25,26,,,,,,,,,,,,,
A10101,25,26,,,,,,,,,,,,,
A10008,9,11,,,,,,,,,,,,,
A10010,9,11,,,,,,,,,,,,,
A10350,9,11,,,,,,,,,,,,,
A10435,9,11,,,,,,,,,,,,,
A10003,23,24,,,,,,,,,,,,,
A10266,23,24,,,,,,,,,,,,,
A10513,29,29,,,,,,,,,,,,,
A10406,25,26,,,,,,,,,,,,,
A10637,23,24,,,,,,,,,,,,,
A10781,9,11,,,,,,,,,,,,,
A10599,25,26,,,,,,,,,,,,,
A10024,9,11,,,,,,,,,,,,,
A10514,29,29,,,,,,,,,,,,,
A10383,29,29,,,,,,,,,,,,,
A10680,29,29,,,,,,,,,,,,,
A10394,18,19,,,,,,,,,,,,,
A10674,25,26,,,,,,,,,,,,,
A10755,22,23,,,,,,,,,,,,,
A10294,9,11,,,,,,,,,,,,,
A10371,23,24,,,,,,,,,,,,,
A10000,23,24,,,,,,,,,,,,,
A10054,9,11,,,,,,,,,,,,,
A10028,9,11,,,,,,,,,,,,,
A10467,23,24,,,,,,,,,,,,,
A10442,15,16,,,,,,,,,,,,,
A10485,25,26,,,,,,,,,,,,,
A10349,25,26,,,,,,,,,,,,,
A10747,29,29,,,,,,,,,,,,,
A10609,25,26,,,,,,,,,,,,,
A10778,23,24,,,,,,,,,,,,,
A10358,29,29,,,,,,,,,,,,,
A10565,23,24,,,,,,,,,,,,,
A10768,23,24,,,,,,,,,,,,,
A10278,23,24,,,,,,,,,,,,,
A10224,23,24,,,,,,,,,,,,,
A10378,18,19,,,,,,,,,,,,,
A10422,18,19,,,,,,,,,,,,,
A10012,9,11,,,,,,,,,,,,,
A10559,18,19,,,,,,,,,,,,,
A10366,25,26,,,,,,,,,,,,,
A10720,9,11,,,,,,,,,,,,,
A10671,23,24,,,,,,,,,,,,,
A10590,25,26,,,,,,,,,,,,,
A10731,25,26,,,,,,,,,,,,,
A10417,25,26,,,,,,,,,,,,,
A10639,15,16,,,,,,,,,,,,,
A10756,25,26,,,,,,,,,,,,,
A10377,23,24,,,,,,,,,,,,,
A10121,25,26,,,,,,,,,,,,,
A10659,23,24,,,,,,,,,,,,,
A10611,23,24,,,,,,,,,,,,,
A10013,9,11,,,,,,,,,,,,,
A10546,23,24,,,,,,,,,,,,,
A10396,18,19,,,,,,,,,,,,,
A10290,23,24,,,,,,,,,,,,,
A10549,23,24,,,,,,,,,,,,,
A10151,25,26,,,,,,,,,,,,,
A10233,25,26,,,,,,,,,,,,,
A10363,23,24,,,,,,,,,,,,,
A10750,25,26,,,,,,,,,,,,,
A10758,25,26,,,,,,,,,,,,,
A10078,9,11,,,,,,,,,,,,,
A10489,7,9,,,,,,,,,,,,,
A10399,22,23,,,,,,,,,,,,,
A10759,9,11,,,,,,,,,,,,,
A10654,9,11,,,,,,,,,,,,,
A10362,25,26,,,,,,,,,,,,,
A10492,25,26,,,,,,,,,,,,,
A10509,25,26,,,,,,,,,,,,,
A10536,23,24,,,,,,,,,,,,,
A10516,18,19,,,,,,,,,,,,,
A10486,9,11,,,,,,,,,,,,,
A10047,9,11,,,,,,,,,,,,,
A10515,29,29,,,,,,,,,,,,,
A10817,25,26,,,,,,,,,,,,,
A10340,29,29,,,,,,,,,,,,,
A10516,29,29,,,,,,,,,,,,,
A10203,25,26,,,,,,,,,,,,,
A10372,29,29,,,,,,,,,,,,,
A10540,25,26,,,,,,,,,,,,,
A10301,9,11,,,,,,,,,,,,,
A10353,5,7,,,,,,,,,,,,,
A10805,7,9,,,,,,,,,,,,,
A10556,25,26,,,,,,,,,,,,,
A10517,29,29,,,,,,,,,,,,,
A10432,29,29,,,,,,,,,,,,,
A10429,25,26,,,,,,,,,,,,,
A10495,18,19,,,,,,,,,,,,,
A10624,29,29,,,,,,,,,,,,,
A10471,25,26,,,,,,,,,,,,,
A10368,23,24,,,,,,,,,,,,,
A10614,23,24,,,,,,,,,,,,,
A10415,18,19,,,,,,,,,,,,,
A10411,18,19,,,,,,,,,,,,,
A10589,23,24,,,,,,,,,,,,,
A10670,25,26,,,,,,,,,,,,,
A10557,23,24,,,,,,,,,,,,,
A10341,29,29,,,,,,,,,,,,,
A10533,25,26,,,,,,,,,,,,,
A10228,19,20,,,,,,,,,,,,,
A10797,23,24,,,,,,,,,,,,,
A10148,25,26,,,,,,,,,,,,,
A10519,3,5,,,,,,,,,,,,,
A10023,9,11,,,,,,,,,,,,,
A10193,9,11,,,,,,,,,,,,,
A10381,23,24,,,,,,,,,,,,,
A10629,25,26,,,,,,,,,,,,,
A10457,25,26,,,,,,,,,,,,,
A10622,15,16,,,,,,,,,,,,,
A10520,3,5,,,,,,,,,,,,,
A10044,9,11,,,,,,,,,,,,,
A10518,29,29,,,,,,,,,,,,,
A10408,18,19,,,,,,,,,,,,,
A10381,29,29,,,,,,,,,,,,,
A10522,9,11,,,,,,,,,,,,,
A10779,7,9,,,,,,,,,,,,,
A10572,23,24,,,,,,,,,,,,,
A10125,7,9,,,,,,,,,,,,,
A10299,9,11,,,,,,,,,,,,,
A10763,29,29,,,,,,,,,,,,,
A10351,25,26,,,,,,,,,,,,,
A10369,25,26,,,,,,,,,,,,,
A10147,15,16,,,,,,,,,,,,,
A10347,9,11,,,,,,,,,,,,,
A10391,9,11,,,,,,,,,,,,,
A10739,9,11,,,,,,,,,,,,,
A10145,15,16,,,,,,,,,,,,,
A10537,25,26,,,,,,,,,,,,,
A10730,9,11,,,,,,,,,,,,,
A10647,25,26,,,,,,,,,,,,,
A10658,25,26,,,,,,,,,,,,,
A10239,23,24,,,,,,,,,,,,,
A10521,3,5,,,,,,,,,,,,,
A10743,29,29,,,,,,,,,,,,,
A10376,18,19,,,,,,,,,,,,,
A10140,25,26,,,,,,,,,,,,,
A10420,25,26,,,,,,,,,,,,,
A10384,29,29,,,,,,,,,,,,,
A10205,23,24,,,,,,,,,,,,,
A10031,9,11,,,,,,,,,,,,,
A10445,25,26,,,,,,,,,,,,,
A10399,25,26,,,,,,,,,,,,,
A10472,25,26,,,,,,,,,,,,,
A10373,18,19,,,,,,,,,,,,,
A10476,25,26,,,,,,,,,,,,,
A10436,25,26,,,,,,,,,,,,,
A10104,25,26,,,,,,,,,,,,,
A10108,25,26,,,,,,,,,,,,,
A10651,25,26,,,,,,,,,,,,,
A10068,9,11,,,,,,,,,,,,,
A10581,23,24,,,,,,,,,,,,,
A10310,7,9,,,,,,,,,,,,,
A10664,25,26,,,,,,,,,,,,,
A10052,9,11,,,,,,,,,,,,,
A10085,9,11,,,,,,,,,,,,,
A10386,7,9,,,,,,,,,,,,,
A10410,9,11,,,,,,,,,,,,,
A10419,9,11,,,,,,,,,,,,,
A10385,29,29,,,,,,,,,,,,,
A10155,25,26,,,,,,,,,,,,,
A10638,22,23,,,,,,,,,,,,,
A10344,23,24,,,,,,,,,,,,,
A10774,7,9,,,,,,,,,,,,,
A10415,25,26,,,,,,,,,,,,,
A10360,25,26,,,,,,,,,,,,,
A10404,23,24,,,,,,,,,,,,,
A10021,23,24,,,,,,,,,,,,,
A10030,23,24,,,,,,,,,,,,,
A10426,9,11,,,,,,,,,,,,,
A10311,9,11,,,,,,,,,,,,,
A10114,25,26,,,,,,,,,,,,,
A10617,23,24,,,,,,,,,,,,,
A10706,23,24,,,,,,,,,,,,,
A10505,23,24,,,,,,,,,,,,,
A10630,23,24,,,,,,,,,,,,,
